date, pm25, pm10, o3, no2, so2, co
2021/12/1,50.00 ,28.00 , ,37, , 
2021/12/2,71.00 ,17.00 , ,19, , 
2021/12/3,29.00 ,11.00 , ,9, , 
2021/12/4,31.00 ,20.00 , ,9, , 
2021/12/5,30.00 ,22.00 , ,17, , 
2021/12/6,32.00 ,13.00 , ,14, , 
2021/12/7,30.00 ,14.00 , ,10, , 
2021/12/8,28.00 ,20.00 , ,14, , 
2021/12/9,37.00 ,15.00 , ,11, , 
2021/12/10,27.00 ,17.00 , ,12, , 
2021/12/11,33.00 ,15.00 , ,10, , 
2021/12/12,46.00 ,10.00 , ,13, , 
2021/12/13,30.00 ,9.00 , ,15, , 
2021/12/14,26.00 ,10.00 , ,16, , 
2021/12/15,32.00 ,46.00 , ,25, , 
2021/12/16,46.00 ,19.00 , ,23, , 
2021/12/17,49.00 ,30.00 , ,24, , 
2021/12/18,78.00 ,38.00 , ,17, , 
2021/12/19,34.00 ,61.00 , ,24, , 
2021/12/20,43.00 ,26.00 , ,22, , 
2021/12/21,54.00 ,17.00 , ,16, , 
2021/12/22,23.00 ,14.00 , ,15, , 
2021/12/23,30.00 ,56.00 , ,14, , 
2021/12/24,53.00 ,39.00 , ,25, , 
2021/12/25,55.00 ,21.00 , ,26, , 
2021/12/26,61.00 ,23.00 , ,23, , 
2021/12/27,60.00 ,15.00 , ,14, , 
2021/12/28,34.00 ,22.00 , ,24, , 
2021/12/29,57.00 ,20.00 , ,18, , 
2021/12/30,39.00 ,10.00 , ,9, , 
2021/12/31,35.00 ,52.00 , ,17, , 
2022/1/1,117.00 ,6.00 , ,12, , 
2022/1/2,19.00 ,13.00 , ,20, , 
2021/7/1,28.00 ,17.00 , ,13, , 
2021/7/2,28.00 ,21.00 , ,10, , 
2021/7/3,34.00 ,21.00 , ,9, , 
2021/7/4,42.00 ,22.00 , ,13, , 
2021/7/5,37.00 ,11.00 , ,7, , 
2021/7/6,25.00 ,11.00 , ,4, , 
2021/7/7,26.00 ,13.00 , ,2, , 
2021/7/8,30.00 ,14.00 , ,9, , 
2021/7/9,31.00 ,12.00 , ,12, , 
2021/7/10,27.00 ,9.00 , ,2, , 
2021/7/11,25.00 ,9.00 , ,2, , 
2021/7/12,21.00 ,14.00 , ,11, , 
2021/7/13,29.00 ,21.00 , ,13, , 
2021/7/14,45.00 ,12.00 , ,7, , 
2021/7/15,31.00 ,14.00 , ,5, , 
2021/7/16,30.00 ,12.00 , ,4, , 
2021/7/17,25.00 ,6.00 , ,5, , 
2021/7/18,14.00 ,10.00 , ,4, , 
2021/7/19,20.00 ,12.00 , ,4, , 
2021/7/20,24.00 ,12.00 , ,3, , 
2021/7/21,24.00 ,16.00 , ,3, , 
2021/7/22,33.00 ,16.00 , ,8, , 
2021/7/23,31.00 ,14.00 , ,7, , 
2021/7/24,32.00 ,24.00 , ,7, , 
2021/7/25,40.00 , , ,15, , 
2021/7/29,12.00 ,12.00 , ,8, , 
2021/7/30,25.00 ,15.00 , ,4, , 
2021/7/31,30.00 ,9.00 , ,5, , 
2021/8/1,19.00 ,10.00 , ,9, , 
2021/8/2,18.00 ,13.00 , ,7, , 
2021/8/3,15.00 ,13.00 , ,8, , 
2021/8/4,24.00 ,9.00 , ,6, , 
2021/8/5,23.00 ,15.00 , ,15, , 
2021/8/6,29.00 ,10.00 , ,8, , 
2021/8/7,22.00 ,9.00 , ,4, , 
2021/8/8,22.00 ,11.00 , ,3, , 
2021/8/9,26.00 ,11.00 , ,3, , 
2021/8/10,26.00 ,15.00 , ,7, , 
2021/8/11,32.00 ,16.00 , ,6, , 
2021/8/12,29.00 ,14.00 , ,2, , 
2021/8/13,30.00 ,7.00 , ,5, , 
2021/8/14,16.00 ,8.00 , ,6, , 
2021/8/15,18.00 ,13.00 , ,10, , 
2021/8/16,23.00 ,9.00 , ,7, , 
2021/8/17,17.00 ,13.00 , ,11, , 
2021/8/18,21.00 ,12.00 , ,10, , 
2021/8/19,22.00 ,14.00 , ,12, , 
2021/8/20,24.00 ,11.00 , ,8, , 
2021/8/21,20.00 ,12.00 , ,7, , 
2021/8/22,27.00 ,17.00 , ,12, , 
2021/8/23,33.00 ,16.00 , ,8, , 
2021/8/24,30.00 ,15.00 , ,9, , 
2021/8/25,17.00 ,11.00 , ,5, , 
2021/8/26,19.00 ,12.00 , ,6, , 
2021/8/27,24.00 ,12.00 , ,7, , 
2021/8/28,24.00 ,17.00 , ,12, , 
2021/8/29,32.00 ,24.00 , ,18, , 
2021/8/30,34.00 ,20.00 , ,15, , 
2021/8/31,24.00 ,16.00 , ,9, , 
2021/9/1,23.00 ,17.00 , ,10, , 
2021/9/2,25.00 ,18.00 , ,14, , 
2021/9/3,28.00 ,7.00 , ,3, , 
2021/9/4,16.00 ,13.00 , ,6, , 
2021/9/5,26.00 ,15.00 , ,8, , 
2021/9/6,32.00 ,23.00 , ,12, , 
2021/9/7,33.00 ,16.00 , ,10, , 
2021/9/8,28.00 ,22.00 , ,13, , 
2021/9/9,39.00 ,24.00 , ,12, , 
2021/9/10,54.00 ,20.00 , ,10, , 
2021/9/11,43.00 ,8.00 , ,5, , 
2021/9/12,25.00 ,10.00 , ,7, , 
2021/9/13,18.00 ,17.00 , ,14, , 
2021/9/14,28.00 ,19.00 , ,16, , 
2021/9/15,31.00 ,12.00 , ,12, , 
2021/9/16,23.00 ,12.00 , ,11, , 
2021/9/17,25.00 ,12.00 , ,9, , 
2021/9/18,27.00 ,10.00 , ,11, , 
